SQL> /

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
         1          2  100133877 70501 2 1     423.15                                               
         2          2  100133879 70501 2 1     618.45                                               
         2          3  100133879 70501 1 1     618.45                                               
         2          3  100133879 50115 2 1     618.45                                               
         3          2  100133880 70501 2 1        651                                               
         3          3  100133880 70501 1 1        651                                               
         3          3  100133880 50115 2 1        651                                               
         4          2  100133881 70501 2 1    3392.06                                               
         5          2  100133882 70501 2 1     253.89                                               
         6          2  100133883 70501 2 1    5549.78                                               
         7          2  100133884 70501 2 1      325.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
         7          3  100133884 70501 1 1      325.5                                               
         7          3  100133884 50115 2 1      325.5                                               
         8          2  100133885 70501 2 1     142.55                                               
         9          2  100133886 70501 2 1     130.74                                               
        10          2  100133887 70501 2 1      520.8                                               
        10          3  100133887 70501 1 1      520.8                                               
        10          3  100133887 50115 2 1      520.8                                               
        11          2  100133888 70501 2 1     138.01                                               
        11          3  100133888 70501 1 1     138.01                                               
        11          3  100133888 50115 2 1     138.01                                               
        13          2  100133890 70501 2 1     3775.8                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        14          2  100133891 70501 2 1      52.08                                               
        14          3  100133891 70501 1 1      52.08                                               
        14          3  100133891 50115 2 1      52.08                                               
        15          2  100133892 70501 2 1        651                                               
        15          3  100133892 70501 1 1        651                                               
        15          3  100133892 50115 2 1        651                                               
        16          2  100133893 70501 2 1        651                                               
        16          3  100133893 70501 1 1        651                                               
        16          3  100133893 50115 2 1        651                                               
        17          2  100133894 70501 2 1      90.98                                               
        18          2  100133895 70501 2 1      976.5                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        18          3  100133895 70501 1 1      976.5                                               
        18          3  100133895 50115 2 1      976.5                                               
        19          2  100133896 70501 2 1     273.42                                               
        20          2  100133897 70501 2 1     829.37                                               
        20          3  100133897 70501 1 1     829.37                                               
        20          3  100133897 50115 2 1     829.37                                               
        21          2  100133898 70501 2 1      615.2                                               
        21          3  100133898 70501 1 1      615.2                                               
        21          3  100133898 50115 2 1      615.2                                               
        22          2  100133899 70501 2 1     169.26                                               
        23          2  100133900 70501 2 1     117.18                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        24          2  100133901 70501 2 1     175.76                                               
        24          3  100133901 70501 1 1     175.76                                               
        24          3  100133901 50115 2 1     175.76                                               
        25          2  100133902 70501 2 1     1236.9                                               
        26          2  100133903 70501 2 1      112.3                                               
        27          2  100133904 70501 2 1      390.6                                               
        28          2  100133905 70501 2 1      195.3                                               
        28          3  100133905 70501 1 1      195.3                                               
        28          3  100133905 50115 2 1      195.3                                               
        29          2  100133907 70501 2 1        651                                               
        29          3  100133907 70501 1 1        651                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        29          3  100133907 50115 2 1        651                                               
        30          2  100133908 70501 2 1     5989.2                                               
        31          2  100133909 70501 2 1      520.8                                               
        31          3  100133909 70501 1 1      520.8                                               
        31          3  100133909 50115 2 1      520.8                                               
        32          2  100133765 70501 2 1     932.03                                               
        33          2  100133766 70501 2 1       1302                                               
        34          2  100133767 70501 2 1     618.45                                               
        34          3  100133767 70501 1 1     618.45                                               
        34          3  100133767 50115 2 1     618.45                                               
        35          2  100133768 70501 2 1    1946.49                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        36          2  100133769 70501 2 1      390.6                                               
        36          3  100133769 70501 1 1      390.6                                               
        36          3  100133769 50115 2 1      390.6                                               
        37          2  100133775 70501 2 1     618.45                                               
        40          2  100133778 70501 2 1      455.7                                               
        41          2  100133781 70501 2 1      325.5                                               
        42          2  100133782 70501 2 1        133                                               
        43          2  100133785 70501 2 1       3255                                               
        44          2  100133786 70501 2 1      195.3                                               
        45          2  100133787 70501 2 1       3255                                               
        46          2  100133788 70501 2 1     182.28                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        47          2  100133794 70501 2 1     123.69                                               
        48          2  100133796 70501 2 1      781.2                                               
        49          2  100133797 70501 2 1     599.05                                               
        50          2  100133798 70501 2 1        651                                               
        50          3  100133798 70501 1 1        651                                               
        50          3  100133798 50115 2 1        651                                               
        51          2  100133799 70501 2 1     1367.1                                               
        52          2  100133800 70501 2 1     299.46                                               
        53          2  100133802 70501 2 1     611.94                                               
        54          2  100133803 70501 2 1     351.54                                               
        54          3  100133803 70501 1 1     351.54                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        54          3  100133803 50115 2 1     351.54                                               
        56          2  100133805 70501 2 1      195.3                                               
        56          3  100133805 70501 1 1      195.3                                               
        56          3  100133805 50115 2 1      195.3                                               
        57          2  100133806 70501 2 1      26.04                                               
        58          2  100133808 70501 2 1     123.69                                               
        59          2  100133809 70501 2 1     505.68                                               
        60          2  100133810 70501 2 1    1673.07                                               
        61          2  100133811 70501 2 1     194.52                                               
        61          3  100133811 70501 1 1     194.52                                               
        61          3  100133811 50115 2 1     194.52                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        62          2  100133812 70501 2 1      61.93                                               
        62          3  100133812 70501 1 1      61.93                                               
        62          3  100133812 50115 2 1      61.93                                               
        63          2  100133814 70501 2 1      325.5                                               
        64          2  100133815 70501 2 1      195.3                                               
        66          2  100133818 70501 2 1      325.5                                               
        66          3  100133818 70501 1 1      325.5                                               
        66          3  100133818 50115 2 1      325.5                                               
        67          2  100133819 70501 2 1     1887.9                                               
        67          3  100133819 70501 1 1     1887.9                                               
        67          3  100133819 50115 2 1     1887.9                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        68          2  100133823 70501 2 1      91.14                                               
        69          2  100133824 70501 2 1      390.6                                               
        70          2  100133826 70501 2 1     416.64                                               
        71          2  100133827 70501 2 1      130.2                                               
        71          3  100133827 70501 1 1      130.2                                               
        71          3  100133827 50115 2 1      130.2                                               
        72          2  100133828 70501 2 1      260.4                                               
        73          2  100133829 70501 2 1      19.53                                               
        75          2  100133831 70501 2 1      195.3                                               
        76          2  100133832 70501 2 1    1279.87                                               
        77          2  100133834 70501 2 1      130.2                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        77          3  100133834 13301 2 1      130.2                                               
        78          2  100133837 70501 2 1       65.1                                               
        79          2  100133838 70501 2 1     4491.9                                               
        79          3  100133838 70501 1 1     4491.9                                               
        79          3  100133838 50115 2 1     4491.9                                               
        87          2  100133734 70501 2 1      195.3                                               
        90          2  100133746 70501 2 1     494.76                                               
        91          2  100133747 70501 2 1      325.5                                               
        92          2  100133748 70501 2 1      390.6                                               
        92          3  100133748 70501 1 1      390.6                                               
        92          3  100133748 50115 2 1      390.6                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
        98          2  100133763 13301 1 1     231.98                                               
        98          2  100133763 50109 2 1     231.98                                               
        98          3  100133763 13301 2 1     231.98                                               
        99          2  100133839 70501 2 1      195.3                                               
       100          2  100133840 70501 2 1       1302                                               
       101          2  100133841 70501 2 1       1953                                               
       103          2  100133843 70501 2 1     371.07                                               
       105          2  100133845 70501 2 1      130.2                                               
       106          2  100133846 70501 2 1      195.3                                               
       107          2  100133847 70501 2 1        651                                               
       107          3  100133847 70501 1 1        651                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       107          3  100133847 50115 2 1        651                                               
       108          2  100133848 70501 2 1       1302                                               
       109          2  100133849 70501 2 1      11.07                                               
       110          2  100133850 70501 2 1      31.52                                               
       111          2  100133851 70501 2 1   30304.05                                               
       112          2  100133853 70501 2 1     227.85                                               
       113          2  100133854 70501 2 1        651                                               
       115          2  100133858 70501 2 1     117.18                                               
       116          2  100133859 70501 2 1        651                                               
       117          2  100133860 70501 2 1       1302                                               
       118          2  100133861 70501 2 1     2864.4                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       119          2  100133863 70501 2 1      846.3                                               
       120          2  100133866 70501 2 1     3189.9                                               
       121          2  100133867 70501 2 1      130.2                                               
       122          2  100133868 70501 2 1     507.78                                               
       122          3  100133868 70501 1 1     507.78                                               
       122          3  100133868 50115 2 1     507.78                                               
       123          2  100133870 70501 2 1      390.6                                               
       124          2  100133871 70501 2 1       9.77                                               
       125          2  100133872 70501 2 1       1302                                               
       125          3  100133872 70501 1 1       1302                                               
       125          3  100133872 50115 2 1       1302                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       127          2  100133874 70501 2 1      97.65                                               
       130          2  100134174 70501 2 1     996.03                                               
       130          3  100134174 70501 1 1     996.03                                               
       130          3  100134174 50115 2 1     996.03                                               
       131          2  100134178 70501 2 1      976.5                                               
       132          2  100134179 70501 2 1      81.38                                               
       135          2  100134185 70501 2 1     156.24                                               
       136          2  100134187 70501 2 1     126.95                                               
       137          2  100134189 70501 2 1        651                                               
       139          2  100134196 70501 2 1       1.67                                               
       140          2  100134199 70501 2 1      52.08                                               

  TRACE_NO  TRACE_CNT      AC_ID ACC_H D I      INTST                                               
---------- ---------- ---------- ----- - - ----------                                               
       141          2  100134200 70501 2 1     494.76                                               
